Feature,MI_Score
TSH,0.2536520821382924
FTI,0.17405677640146866
TT4,0.16873785141991493
T3,0.14323127565827165
T4U,0.059007655760245026
on_thyroxine,0.01723213577132876
pregnant,0.013724131822120178
TSH_measured,0.009917815531569785
referral_source_SVHC,0.009412864782282648
psych,0.008240180427163235
referral_source_other,0.007814953878046538
query_hypothyroid,0.007502119416717745
goitre,0.0061961441441433784
T4U_measured,0.0040552066268411124
age,0.004023122046282079
TT4_measured,0.0034563844982358205
sex,0.0034419250280206537
sick,0.0031677022405118826
referral_source_SVHD,0.0027214541488753685
referral_source_SVI,0.0017940585541946774
query_on_thyroxine,0.000942092432461461
query_hyperthyroid,0.0007446752334367979
referral_source_WEST,0.0003193001785015692
I131_treatment,0.00028258206042308665
hypopituitary,0.0
lithium,0.0
thyroid_surgery,0.0
on_antithyroid_medication,0.0
tumor,0.0
T3_measured,0.0
FTI_measured,0.0
