Class,Feature,Mean_Abs_SHAP
hyperthyroid,age,0.3113321
hyperthyroid,sex,0.00893794
hyperthyroid,on_thyroxine,0.28588936
hyperthyroid,query_hyperthyroid,0.20017001
hyperthyroid,tumor,0.30431357
hyperthyroid,TSH_measured,0.42969546
hyperthyroid,TSH,1.9777571
hyperthyroid,T3_measured,0.14337182
hyperthyroid,T3,1.187345
hyperthyroid,TT4,1.7893344
hyperthyroid,T4U,0.26137945
hyperthyroid,FTI_measured,0.0026736758
hyperthyroid,FTI,1.510869
hyperthyroid,referral_source_SVI,0.01935099
hyperthyroid,referral_source_other,0.054775964
hypothyroid,age,0.2542293
hypothyroid,sex,0.1194643
hypothyroid,on_thyroxine,0.5032302
hypothyroid,query_hyperthyroid,0.0
hypothyroid,tumor,0.009573957
hypothyroid,TSH_measured,0.0004625504
hypothyroid,TSH,5.58895
hypothyroid,T3_measured,0.035100844
hypothyroid,T3,0.29045942
hypothyroid,TT4,0.36497
hypothyroid,T4U,0.32216534
hypothyroid,FTI_measured,0.03793293
hypothyroid,FTI,0.40926397
hypothyroid,referral_source_SVI,0.042841975
hypothyroid,referral_source_other,0.041686364
negative,age,0.10910048
negative,sex,0.07661209
negative,on_thyroxine,0.10206902
negative,query_hyperthyroid,0.0048460187
negative,tumor,0.0070684985
negative,TSH_measured,0.12981859
negative,TSH,0.9755202
negative,T3_measured,0.23991224
negative,T3,0.97321546
negative,TT4,0.887718
negative,T4U,0.29233867
negative,FTI_measured,0.12787648
negative,FTI,0.901232
negative,referral_source_SVI,0.008691728
negative,referral_source_other,0.09485166
other,age,0.27059302
other,sex,0.0830549
other,on_thyroxine,0.21576937
other,query_hyperthyroid,0.09186403
other,tumor,0.023120327
other,TSH_measured,0.022291258
other,TSH,0.36230153
other,T3_measured,0.089596055
other,T3,0.48737827
other,TT4,0.4696758
other,T4U,0.42506632
other,FTI_measured,0.10270866
other,FTI,0.34679538
other,referral_source_SVI,0.040820584
other,referral_source_other,0.10377366
